timestamp,/auv25/imu/odom_estimate,/auv25/imu/raw,/auv25/sensor_packet,/cmd_vel,/thruster_output
2025-11-27 13:44:34.626,"[-281.2544490657003, 4756.388528418267, -570.3645419144722, -0.30415817814252477, -0.072084353064626, 0.17404972591191373, 0.9338085144301599]","[0.0, 0.0, 0.0, 1.0, -0.0029310872934255917, 0.05062787143189658, 0.002264931090374321, -9.2320416015625, -0.36391865234375, -3.1938650146484373]","[13355, 0, 28979, 0, -96, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.677,"[-281.2544490657003, 4756.388528418267, -570.3645419144722, -0.30415817814252477, -0.072084353064626, 0.17404972591191373, 0.9338085144301599]","[0.0, 0.0, 0.0, 1.0, -0.0029310872934255917, 0.05062787143189658, 0.002264931090374321, -9.2320416015625, -0.36391865234375, -3.1938650146484373]","[13355, 0, 28979, 0, -96, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.726,"[-283.4355607286462, 4772.592361996277, -572.4411831154284, -0.3043309865798961, -0.0723145729477206, 0.174417147962644, 0.9336658458159819]","[0.0, 0.0, 0.0, 1.0, -0.00866003063966652, 0.06235222060559895, 0.0021316998497640663, -9.085995300292968, -0.44053310546874996, -3.35188232421875]","[13355, 0, 28979, 0, -96, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.777,"[-283.4355607286462, 4772.592361996277, -572.4411831154284, -0.3043309865798961, -0.0723145729477206, 0.174417147962644, 0.9336658458159819]","[0.0, 0.0, 0.0, 1.0, -0.00866003063966652, 0.06235222060559895, 0.0021316998497640663, -9.085995300292968, -0.44053310546874996, -3.35188232421875]","[16189, 0, 28812, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.826,"[-285.6282187784846, 4788.839046698016, -574.5217489798895, -0.3061605044212786, -0.07282225273099519, 0.174563543720619, 0.9330006614378099]","[0.0, 0.0, 0.0, 1.0, -0.006661562030512709, 0.10125574286379316, 0.00159877488732305, -9.471461767578125, -0.430956298828125, -3.3494881225585935]","[16189, 0, 28812, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.876,"[-285.6282187784846, 4788.839046698016, -574.5217489798895, -0.3061605044212786, -0.07282225273099519, 0.174563543720619, 0.9330006614378099]","[0.0, 0.0, 0.0, 1.0, -0.006661562030512709, 0.10125574286379316, 0.00159877488732305, -9.471461767578125, -0.430956298828125, -3.3494881225585935]","[16189, 0, 28812, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.927,"[-287.8189856521876, 4805.031880237803, -576.5980055377753, -0.30538343360080356, -0.07256895388165818, 0.17470152573404366, 0.9332492069757693]","[0.0, 0.0, 0.0, 1.0, -0.000799387443661525, 0.04836294034152226, 0.006528330789902454, -9.169792358398437, -0.46686932373046874, -3.0262708984374997]","[16189, 0, 28812, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.977,"[-287.8189856521876, 4805.031880237803, -576.5980055377753, -0.30538343360080356, -0.07256895388165818, 0.17470152573404366, 0.9332492069757693]","[0.0, 0.0, 0.0, 1.0, -0.000799387443661525, 0.04836294034152226, 0.006528330789902454, -9.169792358398437, -0.46686932373046874, -3.0262708984374997]","[16189, 0, 28812, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.026,"[-290.037502924346, 4821.394397971527, -578.6963508616037, -0.3050781088636241, -0.0726498454608821, 0.17499678286460646, 0.9332874548785827]","[0.0, 0.0, 0.0, 1.0, -0.006128637068071691, 0.05382542120654268, 0.0035972434964768626, -9.260772021484375, -0.49799394531249996, -3.318363500976562]","[16189, 0, 28812, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.076,"[-290.037502924346, 4821.394397971527, -578.6963508616037, -0.3050781088636241, -0.0726498454608821, 0.17499678286460646, 0.9332874548785827]","[0.0, 0.0, 0.0, 1.0, -0.006128637068071691, 0.05382542120654268, 0.0035972434964768626, -9.260772021484375, -0.49799394531249996, -3.318363500976562]","[16189, 0, 28812, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.127,"[-292.2618007613729, 4837.763557875104, -580.7940140732907, -0.30536965991253545, -0.07286649755385077, 0.17544420375282055, 0.9330911936722347]","[0.0, 0.0, 0.0, 1.0, -0.010125574286379316, 0.06435068921475276, 0.003863705977697371, -9.375693701171874, -0.47884033203125, -3.4955344238281247]","[16189, 0, 28812, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.177,"[-292.2618007613729, 4837.763557875104, -580.7940140732907, -0.30536965991253545, -0.07286649755385077, 0.17544420375282055, 0.9330911936722347]","[0.0, 0.0, 0.0, 1.0, -0.010125574286379316, 0.06435068921475276, 0.003863705977697371, -9.375693701171874, -0.47884033203125, -3.4955344238281247]","[18827, 0, 26805, 0, -96, 1996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.226,"[-294.49741296691224, 4854.187903727065, -582.900624651489, -0.30586438819808576, -0.07170551402909538, 0.17607651013793338, 0.9328999720589986]","[0.0, 0.0, 0.0, 1.0, -0.00479632466196915, 0.06328483928987072, 0.0334410413931738, -9.062053283691405, -0.5363011718749999, -3.356670727539062]","[18827, 0, 26805, 0, -96, 1996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.277,"[-294.49741296691224, 4854.187903727065, -582.900624651489, -0.30586438819808576, -0.07170551402909538, 0.17607651013793338, 0.9328999720589986]","[0.0, 0.0, 0.0, 1.0, -0.00479632466196915, 0.06328483928987072, 0.0334410413931738, -9.062053283691405, -0.5363011718749999, -3.356670727539062]","[18827, 0, 26805, 0, -96, 1996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.327,"[-296.71452316840595, 4870.44679490054, -584.9870486879378, -0.30507604421802165, -0.07159714638165579, 0.17647871820573877, 0.9330904124974959]","[0.0, 0.0, 0.0, 1.0, -0.006928024511733216, 0.04436600312321464, 0.0075941807147844875, -9.208099584960937, -0.5458779785156249, -3.2561142578125]","[18827, 0, 26805, 0, -96, 1996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:35.377,"[-296.71452316840595, 4870.44679490054, -584.9870486879378, -0.30507604421802165, -0.07159714638165579, 0.17647871820573877, 0.9330904124974959]","[0.0, 0.0, 0.0, 1.0, -0.006928024511733216, 0.04436600312321464, 0.0075941807147844875, -9.208099584960937, -0.5458779785156249, -3.2561142578125]","[20987, 0, 25551, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
